System Name,R1,R2,mu,lstar,xmin,xmax,xdotmin,xdotmax,C,Symbol
Earth-Moon,6378.14,1738.2,1.22E-02,384388.174,-0.4,1.1,-2.5,2.5,2.96,EM
Jupiter-Europa,71492,1560.8,2.52802E-05,671100,1.002300454,1.02,-0.135,0.135,3.004,JE
